Input Name,Input Affiliation,Matched Name,S2 Author ID,Low Volume,Special Issue
Ozge Nilay Yalcin,Simon Fraser University,Ö. Yalçın,80264274,,
Jufeng Yang,Nankai University,Jufeng Yang,1755872,,
Zerrin Yumak,Utrecht University,Zerrin Yumak,1730934,,
Kejun Zhang,Zhejiang University,Ke-jun Zhang,151470175,,1
Shiqing Zhang,"Taizhou University, China",Shiqing Zhang,1695589,,
Tianyi Zhang,"Southeast University, China",Tianyi Zhang,2146331993,,
Tong Zhang,"South China University of Technology, Guangzhou, China",Tong Zhang,2363808917,,
Yazhou Zhang,Tianjin,Yazhou Zhang,2108008897,,
Yuan Zhang,Southwest University,Y. Zhang,49890284,,
Zheng Zhang,"Harbin Institute of Technology, Shenzhen, China",Zheng Zhang,2148905838,,
Zixing Zhang,Hunan University,Zixing Zhang,1742291,,
WeiLong Zheng,Shanghai Jiao Tong University,Wei-Long Zheng,2305113444,,
Guoying Zhao,"University of Oulu, Finland",Guoying Zhao,1757287,,
Sicheng Zhao,Tsinghua,Sicheng Zhao,1755487,,
Xiuzhuang Zhou,Beijing Posts and telecommunications,Xiuzhuang Zhou,3353607,,
